region_name,item_description,total_value,regional_total,percentage
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 400GRM BOT,597627687.000000000,2896805871761.100000000,0.020630574
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 1.75 KG J,596189806.220000000,2896805871761.100000000,0.020580938
Gujarat,MARUTI PALMOLIEN OIL 13 KG NT,591052580.380000000,2896805871761.100000000,0.020403596
Gujarat,ADVT.CHARGES FOR TVC,585505118.040000000,2896805871761.100000000,0.020212094
Gujarat,TIRUPATI MUSTARD OIL 435 GRM BOTTLE,565297583.140000000,2896805871761.100000000,0.019514514
Gujarat,RBD PALMOLEIN OF EDIBLE GRADE,539360850.260000000,2896805871761.100000000,0.018619158
Gujarat,TIRUPATI REFINED RICE BRAN OIL 5 LTR JAR,527796328.950000000,2896805871761.100000000,0.018219941
Gujarat,CRUDE PALM OIL EDIBLE GRADE,513858501.000000000,2896805871761.100000000,0.017738797
Gujarat,TIRUPATI ACTIVE REF CORN OIL 750ML POUCH,478891880.120000000,2896805871761.100000000,0.016531722
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL 15 LTR NT,461967019.970000000,2896805871761.100000000,0.015947462
Gujarat,TIRUPATI REFINED COTTON OIL 500ML BOTTLE,442460173.670000000,2896805871761.100000000,0.015274071
Gujarat,PALM FATTY ACID,439631586.820000000,2896805871761.100000000,0.015176426
Gujarat,ADVT. CHARGES FOR DIGITAL,434202585.980000000,2896805871761.100000000,0.014989012
Gujarat,CRUDE SUNFLOWER OIL,421379801.180000000,2896805871761.100000000,0.014546360
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 15 LTR NT,412761612.390000000,2896805871761.100000000,0.014248853
Gujarat,CASTOR DE OIL CAKE HIGH PROTEINS,406770789.720000000,2896805871761.100000000,0.014042045
Gujarat,SPENT EARTH,322363307.500000000,2896805871761.100000000,0.011128233
Gujarat,TIRUPATI PREMIUMFILTERED GN OIL 870 GM P,321413838.530000000,2896805871761.100000000,0.011095457
Gujarat,TIRUPATI PREMIUM FILTER GNOIL 1LTRBOTTLE,290104789.180000000,2896805871761.100000000,0.010014644
Gujarat,FOREX DIFFERENCE,263146921.080000000,2896805871761.100000000,0.009084037
Gujarat,FILTER GROUNDNUT OIL,260673024.900000000,2896805871761.100000000,0.008998636
Gujarat,PALE PRESS GRADE CASTOR OIL,257050000.000000000,2896805871761.100000000,0.008873567
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 1LTRPOUCH,254622833.620000000,2896805871761.100000000,0.008789779
Gujarat,"12, HYDROXY STEARIC ACID (12-HSA)",232365000.000000000,2896805871761.100000000,0.008021421
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL  5LTR JAR,230885478.770000000,2896805871761.100000000,0.007970347
Gujarat,GOOD LIFE REF SUNFLOWER OIL 5 LTR JAR,230377840.140000000,2896805871761.100000000,0.007952823
Gujarat,TIRUPATI REF RICE BRAN OIL 15 LTR CHAKLI,216818114.860000000,2896805871761.100000000,0.007484731
Gujarat,REFINED SUNFLOWER OIL,212672193.000000000,2896805871761.100000000,0.007341610
Gujarat,TIRUPATI REFINED COTTON OIL 200 ML POUCH,204782403.950000000,2896805871761.100000000,0.007069248
Gujarat,ADVT. CHARGES FOR RADIO,201214857.960000000,2896805871761.100000000,0.006946094
Gujarat,REFINED PALM OIL,193446422.000000000,2896805871761.100000000,0.006677921
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL435GRM BOT,183885585.290000000,2896805871761.100000000,0.006347874
Gujarat,TIRUPATI REFINED RICE BRAN OIL 1LTRPOUCH,182943177.660000000,2896805871761.100000000,0.006315341
Gujarat,CASTOR DE OIL CAKE LOOSE,182552375.410000000,2896805871761.100000000,0.006301851
Gujarat,TYRE SET 8.25 X 20 FRONT UBHI NAKSHI-MRF,178759874.240000000,2896805871761.100000000,0.006170930
Gujarat,TYRE SET 10.00 X 20 REAR AADI NAKSHI-MRF,171576466.010000000,2896805871761.100000000,0.005922954
Gujarat,RBD PALM OIL OF EDIBLE GRADE,170500000.000000000,2896805871761.100000000,0.005885793
Gujarat,TIRUPATI REF SOYABEAN OIL 750 GM POUCH,153731361.940000000,2896805871761.100000000,0.005306927
Gujarat,WAFERS CLASSIC SALTED 25G RS 5 PROMO,148834945.250000000,2896805871761.100000000,0.005137898
Gujarat,GOOD LIFE REF SUNFLOWER OIL 1 LTR POUCH,148340758.090000000,2896805871761.100000000,0.005120839
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR BUCKET,146930884.310000000,2896805871761.100000000,0.005072169
Gujarat,TIRUPATI NAMKEEN SEV MURMURA M 30 GM 5RS,138156807.990000000,2896805871761.100000000,0.004769281
Gujarat,TYRE SET 8.25 X 20 REAR AADI NAKSHI-MRF,130521382.400000000,2896805871761.100000000,0.004505700
Gujarat,295/90 R20 RADIAL TYRE - FRONT,130159873.070000000,2896805871761.100000000,0.004493220
Gujarat,TIRUPATI SOYALITE REFSOYAOIL 500MLBOTTLE,128637953.380000000,2896805871761.100000000,0.004440683
Gujarat,TIRUPATI SOYALITE REF SOYABEANOIL13KGJAR,125269961.910000000,2896805871761.100000000,0.004324417
Gujarat,TIRUPATI REF SOYABEAN OIL 870 GM POUCH,122061853.370000000,2896805871761.100000000,0.004213670
Gujarat,CRUDE DEGUMMED SOYABENOIL EDIBLE GRADE,119621000.000000000,2896805871761.100000000,0.004129410
Gujarat,MARUTI REFINED COTTON OIL 15 LTR NT,118085962.730000000,2896805871761.100000000,0.004076420
Gujarat,TIRUPATI WAFERS CLASSIC SALTED 15 GM 5RS,113044210.310000000,2896805871761.100000000,0.003902374
Gujarat,TIRUPATI NAMKEEN SEV MURMURA P 30 GM 5RS,111696494.040000000,2896805871761.100000000,0.003855850
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 1LTRBOTTLE,109317577.630000000,2896805871761.100000000,0.003773728
Gujarat,Rodtep Scrip,104750405.000000000,2896805871761.100000000,0.003616066
Gujarat,TAPL WAFERS CLASSIC SALTED 30G RS5 PROMO,104289216.640000000,2896805871761.100000000,0.003600145
Gujarat,OLIXIR COLDPRESS COCONUTOIL 500ML BOTTLE,101903771.930000000,2896805871761.100000000,0.003517798
Gujarat,ADVT.CHARGES FOR NEWS PAPER,98724912.000000000,2896805871761.100000000,0.003408061
Gujarat,TIRUPATI NAMKEEN NYLON PAPDI 22G 5RS,93673841.930000000,2896805871761.100000000,0.003233694
Gujarat,SLUDGE,92864986.880000000,2896805871761.100000000,0.003205772
Gujarat,TIRUPATI REFINED GROUNDNUT OIL 15 KG NT,86474663.260000000,2896805871761.100000000,0.002985173
Gujarat,TIRUPATI REF SOYABEAN OIL POU 16X750 ML,86375262.820000000,2896805871761.100000000,0.002981741
Gujarat,FATTY ACID (MIX),86232883.060000000,2896805871761.100000000,0.002976826
Gujarat,EXPELLER GROUNDNUT OIL,85080000.000000000,2896805871761.100000000,0.002937028
Gujarat,TIRUPATI REF.SOYABEAN OIL 16X 750 ML BOT,83197670.130000000,2896805871761.100000000,0.002872049
Gujarat,TIRUPATI NOODLES CHEESY CHATPATA 24G 5RS,83163578.710000000,2896805871761.100000000,0.002870872
Gujarat,TIN SCRAP,82563530.140000000,2896805871761.100000000,0.002850158
Gujarat,TIRUPATI MUSTARD OIL 1 LTR BOTTLE,82166910.120000000,2896805871761.100000000,0.002836466
Gujarat,OLIXIR COLD PRESS SESAMEOIL 500ML BOTTLE,80434583.320000000,2896805871761.100000000,0.002776665
Gujarat,TIRUPATI WAFERS CRUNCHY MIRCHY 16 GM 5RS,80301584.470000000,2896805871761.100000000,0.002772073
Gujarat,TIRUPATI WAFERS CLASSIC SALTED 16 GM 5RS,78551638.730000000,2896805871761.100000000,0.002711664
Gujarat,TIRUPATI SNACKS SALTED PIPES 24G 5RS,76364562.790000000,2896805871761.100000000,0.002636164
Gujarat,TIRUPATI SNACKS CRISS-CROSSMASALA24G 5RS,75096620.540000000,2896805871761.100000000,0.002592394
Gujarat,RENT OFFICE,72133410.200000000,2896805871761.100000000,0.002490102
Gujarat,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,71053661.300000000,2896805871761.100000000,0.002452828
Gujarat,SUNPRIDE REF SUNFLOWER OIL POU 16X750 ML,70645942.620000000,2896805871761.100000000,0.002438753
